Series Name Series Code	Country Name	Country Code	1996 [YR1996]	1998 [YR1998]	2000 [YR2000]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]
Voice and Accountability: Estimate	VA.EST	Equatorial Guinea	GNQ	-1.53705394268036	-1.5734041929245	-1.61648845672607	-1.63764619827271	-1.6992574930191	-1.64153945446014	-1.66614949703217	-1.80706322193146	-1.89098525047302	-1.89792358875275	-1.81038475036621	-1.86550641059875	-1.90365791320801	-1.88265311717987	-1.96228313446045	-1.98061668872833
Voice and Accountability: Estimate	VA.EST	Eritrea	ERI	-1.25811731815338	-1.06592082977295	-1.37166774272919	-1.76313829421997	-1.90071320533752	-1.85099136829376	-2.14203429222107	-2.02700901031494	-2.07946419715881	-2.11623072624207	-2.16456604003906	-2.15530681610107	-2.17610383033752	-2.15439963340759	-2.14921855926514	-2.03925681114197
Voice and Accountability: Estimate	VA.EST	Ethiopia	ETH	-1.10910904407501	-0.974761128425598	-1.00094592571259	-1.22557926177979	-1.07325446605682	-1.14260411262512	-1.22082448005676	-1.15656113624573	-1.17042100429535	-1.28399300575256	-1.27660071849823	-1.31339716911316	-1.32910287380219	-1.28001534938812	-1.29292273521423	-1.25586652755737
Voice and Accountability: Estimate	VA.EST	Gabon	GAB	-0.322546184062958	-0.407723933458328	-0.485544919967651	-0.555054724216461	-0.677192091941834	-0.805739104747772	-0.875595927238464	-0.986370325088501	-0.892251253128052	-0.854140341281891	-1.0006707906723	-0.887672126293182	-0.933238685131073	-0.870838463306427	-0.857715487480164	-0.911407351493835
Voice and Accountability: Estimate	VA.EST	Gambia, The	GMB	-1.32383179664612	-0.984518766403198	-1.13900852203369	-0.643582344055176	-0.379852503538132	-0.600828886032104	-0.971219420433044	-0.873200416564941	-0.882401764392853	-0.854909777641296	-1.01260471343994	-1.08519554138184	-1.22164833545685	-1.27761614322662	-1.25262367725372	-1.25439202785492
Voice and Accountability: Estimate	VA.EST	Ghana	GHA	-0.341387063264847	-0.364357769489288	-0.078311525285244	-0.0559179037809372	0.275180548429489	0.151430368423462	0.239893957972527	0.365210920572281	0.460922062397003	0.383351862430573	0.486855626106262	0.492735892534256	0.458107739686966	0.401330381631851	0.410417348146439	0.491630107164383
Voice and Accountability: Estimate	VA.EST	Guinea	GIN	-1.3451783657074	-1.19053328037262	-1.17617690563202	-1.33420979976654	-1.2168847322464	-1.28370606899261	-1.14030265808105	-1.23738873004913	-1.39406991004944	-1.4544415473938	-1.30149674415588	-0.946654081344604	-0.940793752670288	-1.05856478214264	-1.06020259857178	-0.891215145587921
Voice and Accountability: Estimate	VA.EST	Guinea-Bissau	GNB	-1.15956926345825	-1.13678085803986	-0.761270225048065	-0.752813279628754	-1.13328397274017	-0.852164030075073	-0.374271661043167	-0.700661420822144	-0.790799498558044	-0.791596472263336	-0.814203143119812	-0.897211790084839	-0.934482097625732	-1.39493572711945	-1.41422140598297	-1.03982555866241
Voice and Accountability: Estimate	VA.EST	Kenya	KEN	-0.670510470867157	-0.983857333660126	-0.896917581558228	-0.747022092342377	-0.253338515758514	-0.169326618313789	-0.196959748864174	-0.13755314052105	-0.240091592073441	-0.289489209651947	-0.337130814790726	-0.22547921538353	-0.279737114906311	-0.305336266756058	-0.246217846870422	-0.157948702573776
Voice and Accountability: Estimate	VA.EST	Lesotho	LSO	-0.532734394073486	-0.744451522827148	-0.351560771465302	-0.0117218066006899	0.0453718639910221	-0.144789800047874	-0.158498600125313	0.147989124059677	-0.0249854810535908	-0.110671766102314	-0.123253129422665	-0.139833346009254	-0.118233539164066	0.0453222095966339	0.0780977681279182	0.114653594791889
